Bin,Omega,HistogramDD,HistogramDR,HistogramRR
0.00-0.25,2.365399,2350856,396662,1140716
0.25-0.50,1.744417,4356416,1183132,2673438
0.50-0.75,1.418153,5589018,1946030,4058226
0.75-1.00,1.215410,6483428,2673818,5272688
1.00-1.25,1.086647,7323414,3384896,6389408
1.25-1.50,1.002047,8173756,4079235,7468356
1.50-1.75,0.936981,8985512,4759594,8468506
1.75-2.00,0.884503,9790048,5439828,9434062
2.00-2.25,0.845757,10643558,6118655,10332756
2.25-2.50,0.810945,11408330,6763049,11201850
2.50-2.75,0.775445,12088950,7400763,12079770
2.75-3.00,0.747063,12825166,8043602,12896620
3.00-3.25,0.716902,13524468,8699975,13689562
3.25-3.50,0.686127,14169862,9351889,14445044
3.50-3.75,0.656729,14795368,10001924,15173078
3.75-4.00,0.636097,15507470,10650938,15922938
4.00-4.25,0.617979,16227924,11287774,16615882
4.25-4.50,0.600120,16890452,11904656,17302348
4.50-4.75,0.578884,17464752,12512459,17952682
4.75-5.00,0.563263,18042542,13076889,18572356
5.00-5.25,0.550818,18703934,13664759,19202864
5.25-5.50,0.539617,19387974,14255545,19816358
5.50-5.75,0.531521,20119876,14840914,20410642
5.75-6.00,0.525316,20833444,15397683,20986410
6.00-6.25,0.517978,21485448,15937597,21554504
6.25-6.50,0.506370,22086664,16497045,22096368
6.50-6.75,0.494538,22637182,17033830,22613912
6.75-7.00,0.482267,23159742,17576908,23166518
7.00-7.25,0.474486,23814602,18132012,23690000
7.25-7.50,0.466954,24395052,18653604,24223326
7.50-7.75,0.452089,24820628,19181578,24716644
7.75-8.00,0.431622,25170182,19738331,25170710
8.00-8.25,0.416179,25583426,20287296,25677654
8.25-8.50,0.406892,26092188,20797372,26137832
8.50-8.75,0.397438,26643280,21323447,26559280
8.75-9.00,0.389912,27239406,21848819,26976810
9.00-9.25,0.381755,27862884,22406007,27414902
9.25-9.50,0.381305,28679180,22947532,27826146
9.50-9.75,0.379082,29416280,23474382,28236394
9.75-10.00,0.379264,30147104,23961504,28636824
10.00-10.25,0.372547,30692338,24461560,29055216
10.25-10.50,0.363790,31114014,24916651,29423122
10.50-10.75,0.348994,31414192,25409998,29808950
10.75-11.00,0.329608,31573616,25898686,30167066
11.00-11.25,0.316678,31991820,26414966,30495324
11.25-11.50,0.313273,32620548,26912211,30876720
11.50-11.75,0.304882,33175358,27424489,31179756
11.75-12.00,0.299263,33749032,27917437,31518036
12.00-12.25,0.292767,34319930,28434091,31882354
12.25-12.50,0.281705,34713606,28919313,32194306
12.50-12.75,0.269656,35100178,29421989,32510430
12.75-13.00,0.256179,35402048,29903786,32811022
13.00-13.25,0.244510,35741446,30372906,33096888
13.25-13.50,0.234289,36038442,30802029,33388074
13.50-13.75,0.231342,36517486,31215191,33711888
13.75-14.00,0.221847,36798308,31614375,33965594
14.00-14.25,0.208955,37035318,32062254,34244828
14.25-14.50,0.204129,37508556,32487042,34510026
14.50-14.75,0.193534,37879280,32966844,34786822
14.75-15.00,0.184692,38171144,33374584,35051812
15.00-15.25,0.176273,38528860,33806213,35307284
15.25-15.50,0.172071,39033570,34230158,35542600
15.50-15.75,0.166644,39425012,34634097,35810834
15.75-16.00,0.153707,39586192,35055455,36068748
16.00-16.25,0.136257,39635442,35503933,36321460
16.25-16.50,0.122672,39729846,35899852,36554024
16.50-16.75,0.118546,40072602,36244595,36776254
16.75-17.00,0.115100,40423648,36590316,37017720
